"DisplayName","Status"
"Application Information","Running"
"Application Management","Running"
"Windows Audio Endpoint Builder","Running"
"Windows Audio","Running"
"Base Filtering Engine","Running"
"Background Tasks Infrastructure Service","Running"
"AVCTP service","Running"
"Clipboard User Service_17ac35","Running"
"Connected Devices Platform Service","Running"
"Connected Devices Platform User Service_17ac35","Running"
"COM+ System Application","Running"
"CoreMessaging","Running"
"Cryptographic Services","Running"
"DCOM Server Process Launcher","Running"
"Device Install Service","Running"
"DHCP Client","Running"
"Connected User Experiences and Telemetry","Running"
"DNS Client","Running"
"Windows Event Log","Running"
"COM+ Event System","Running"
"Windows Font Cache Service","Running"
"IP Helper","Running"
"CNG Key Isolation","Running"
"Server","Running"
"Workstation","Running"
"Geolocation Service","Running"
"Windows License Manager Service","Running"
"TCP/IP NetBIOS Helper","Running"
"Local Session Manager","Running"
"Windows Defender Firewall","Running"
"Distributed Transaction Coordinator","Running"
"Network Connection Broker","Running"
"Network List Service","Running"
"Network Location Awareness","Running"
"Network Store Interface Service","Running"
"Sync Host_17ac35","Running"
"Program Compatibility Assistant Service","Running"
"Plug and Play","Running"
"Power","Running"
"User Profile Service","Running"
"RPC Endpoint Mapper","Running"
"Remote Procedure Call (RPC)","Running"
"Security Accounts Manager","Running"
"Task Scheduler","Running"
"Windows Security Service","Running"
"System Event Notification Service","Running"
"System Guard Runtime Monitor Broker","Running"
"Shell Hardware Detection","Running"
"Print Spooler","Running"
"SSDP Discovery","Running"
"State Repository Service","Running"
"Storage Service","Running"
"SysMain","Running"
"System Events Broker","Running"
"Touch Keyboard and Handwriting Panel Service","Running"
"Themes","Running"
"Time Broker","Running"
"Web Account Manager","Running"
"User Manager","Running"
"Update Orchestrator Service","Running"
"Credential Manager","Running"
"VMware Alias Manager and Ticket Service","Running"
"VMware SVGA Helper Service","Running"
"VMware Tools","Running"
"Windows Connection Manager","Running"
"Windows Defender Antivirus Network Inspection Service","Running"
"Windows Defender Antivirus Service","Running"
"Windows Management Instrumentation","Running"
"Windows Push Notifications System Service","Running"
"Windows Push Notifications User Service_17ac35","Running"
"Security Center","Running"
